"id","country","city","name","state","zipcode","date","gname","gaddress","website"
"155","usa","rocklin","sierra college","ca","95677","8/23/2017","Sierra College","5100 Sierra College Blvd, Rocklin, CA 95677, USA","https://www.sierracollege.edu/"
"156","usa","newtown","bucks county cmty coll","pa","18940-4106","8/23/2017","Bucks County Community College","275 Swamp Rd, Newtown, PA 18940, USA","http://www.bucks.edu/"
"157","usa","arkadelphia","ouachita baptist university","ar","71998-0001","8/23/2017","Ouachita Baptist University","410 Ouachita St, Arkadelphia, AR 71998, USA","http://www.obu.edu/"
"158","usa","waco","baylor university","tx","76798","8/23/2017","Baylor University","1301 S University Parks Dr, Waco, TX 76706, USA","http://www.baylor.edu//"
"159","usa","ste anne bellevu","john abbott college","qc","h9x 3l9","8/23/2017","John Abbott College","21275 Rue Lakeshore, Sainte-Anne-de-Bellevue, QC H9X 3L9, Canada","http://www.johnabbott.qc.ca/"
"160","usa","lawrenceville","gwinnett technical college","ga","30043-5702","8/23/2017","Gwinnett Technical College","5150 Sugarloaf Pkwy, Lawrenceville, GA 30043, USA","http://www.gwinnetttech.edu/"
"161","usa","tempe","arizona state university","az","85281","8/23/2017","Arizona State University, Tempe Campus","Tempe, AZ 85281, USA","https://campus.asu.edu/tempe"
"162","usa","union","east central college","mo","63084-0529","8/23/2017","East Central College","1964 Prairie Dell Rd, Union, MO 63084, USA","http://www.eastcentral.edu/"
"163","usa","san bruno","skyline college","ca","94066","8/23/2017","Skyline College Campground","3300 College Drive, San Bruno, CA 94066, USA","http://www.skylinecollege.edu/"
"164","usa","greensboro","north carolina st univ","nc","27411-0002","8/23/2017","The Graduate College, North Carolina A&T State University","120 Gibbs Hall, 1601 E Market St, Greensboro, NC 27411, USA","http://www.ncat.edu/tgc/"
"165","usa","plant city","hillsborough cmty coll pc","fl","33563-1540","8/23/2017","Hillsborough Community College - Plant City Campus","1206 N Park Rd, Plant City, FL 33563, USA","http://www.hccfl.edu/pc.aspx"
"166","usa","edwardsville","so illinois u-edwardsville","il","62026-0001","8/23/2017","Southern Illinois University Edwardsville","1 Hairpin Dr, Edwardsville, IL 62025, USA","http://www.siue.edu/"
"167","usa","cullowhee","western carolina university","nc","28723","8/23/2017","Western Carolina University","1 University Way, Cullowhee, NC 28723, USA","http://www.wcu.edu/"
"168","usa","saint cloud","saint cloud state univ","mn","56301","8/23/2017","St. Cloud State University","720 4th Ave S, St Cloud, MN 56301, USA","http://stcloudstate.edu/"
"169","usa","anchorage","univ of alaska - anchorage","ak","99508","8/23/2017","University of Alaska Anchorage","3211 Providence Dr, Anchorage, AK 99508, USA","https://www.uaa.alaska.edu/"
