instituion_city,institution_name,institution_state,institution_zipcode,transaction_date
billings,montana state univ - billings,mt,59101-0245,1/29/2016
johnstown,fulton montgomery cmty coll,ny,12095-3749,1/29/2016
lancaster,hacc lancaster,pa,17602-2633,1/29/2016
colorado spg,univ of colo-colo spr,co,80918,1/29/2016
lufkin,angelina college,tx,75904,1/29/2016
nashville,vanderbilt university,tn,37235-0001,1/29/2016
plattsburgh,suny - plattsburgh,ny,12901-2637,1/29/2016
wayne,william paterson university,nj,07470-2103,1/29/2016
north miami,fiu - biscayne bay campus,fl,33181,1/29/2016
plano,collin college - spr crk,tx,75074,1/29/2016
morrilton,univ of arkansas cc-morrilton,ar,72110,1/29/2016
lock haven,lock haven university,pa,17745-2342,1/29/2016
clermont,lake sumter cc - southlake campus,fl,34711,1/29/2016
chicago,malcolm x college,il,60612-3145,1/29/2016
paterson,passaic county cmty college,nj,7509,1/29/2016
la crosse,western tech coll,wi,54601-3368,1/29/2016
bridgewater,bridgewater state university,ma,2325,1/29/2016
frederick,frederick cmty college,md,21702-2964,1/29/2016
denver,colorado community college onl,co,80230,1/29/2016
brockton,massasoit community college,ma,2302,1/29/2016
macomb,western illinois university,il,61455-1367,1/29/2016
new haven,southern conn state univ,ct,06515-1330,1/29/2016
youngstown,youngstown state university,oh,44555-0001,1/29/2016
mission viejo,saddleback college,ca,92692,1/29/2016
bloomfield hills,oakland community college,mi,48304-2223,1/29/2016
wharton,wharton county jr college,tx,77488,1/29/2016
emporia,emporia state university,ks,66801,1/29/2016
menasha,uwc - fox valley,wi,54952-8002,1/29/2016
austin,austin c c - riverside,tx,78741,1/29/2016
san bernardino,cal state u - san bernardino,ca,92407,1/29/2016
buffalo,buffalo state college,ny,14222-1004,1/29/2016
patchogue,st josephs college - long island,ny,11772-2325,1/29/2016
morristown,walters st cmty coll,tn,37813-1908,1/29/2016
wilmington,del tech & cc wilmington,de,19801-2412,1/29/2016
huntington bch,coastline cc-huntngtn wstmn,ca,92649,1/29/2016
sugarland,wharton cty jr coll - sugarland,tx,77479,1/29/2016
rochester,oakland university,mi,48309-4402,1/29/2016
burlington,university of vermont,vt,05405-0001,1/29/2016
chicago,chicago state university,il,60628,1/29/2016
pine bluff,u arkansas-pine bluff,ar,71601-2799,1/29/2016
huntington,queens  huntington college,ny,11743,1/29/2016
fullerton,fullerton college,ca,92832,1/29/2016
tampa,university of tampa,fl,33606-1450,1/29/2016
colorado springs,pikes peak cc - centennial cmps,co,80906,1/29/2016
new york,john jay coll criminal just,ny,10019-1104,1/29/2016
hazard,kctcs-hazard,ky,41701,1/29/2016
aptos,cabrillo college,ca,95003,1/29/2016
las vegas,coll of s nv - charleston,nv,89146,1/29/2016
springfield,nvcc medical educ campus,va,22150-1913,1/29/2016
frankfort,kentucky state university,ky,40601-2334,1/29/2016
nanticoke,luzerne cty comm college,pa,18634-3814,1/29/2016
manchester,sthrn nh univ cont/online educ,nh,3101,1/29/2016
yakima,yakima valley comm coll,wa,98902,1/29/2016
richmond,virginia commonwealth university,va,23284,1/29/2016
athens,trinity valley cc - athens,tx,75751,1/29/2016
woodbridge,no virginia cc - woodbridge,va,22191,1/29/2016
phoenix,grand canyon university,az,85017,1/29/2016
jamestown,guilford tech comm coll,nc,27282-0309,1/29/2016
washington,trinity univeristy,dc,20017,1/29/2016
cleveland,cleveland state university,oh,44115-2214,1/29/2016
belle glade,palm beach state coll - glades,fl,33430-3611,1/29/2016
hurst,tarrant cnty coll ne,tx,76054,1/29/2016
columbus,ivy tech comm coll - columbus,in,47203-1868,1/29/2016
west windsor,mercer cnty c c-trenton,nj,08550-3407,1/29/2016
columbus,franklin university,oh,43215-5301,1/29/2016
el cajon,grossmont college,ca,92020,1/29/2016
marion,marion military institute,al,36756,1/29/2016
green bay,university of wisconsin - green bay,wi,54311,1/29/2016
buies creek,campbell university,nc,27506,1/29/2016
miami,miami-dade coll north,fl,33167,1/29/2016
kyle,austin cc - hays,tx,78640,11/15/2016
pittsburgh,univ of pittsburgh,pa,15260-0001,11/15/2016
farmington,tunxis cmty technical college,ct,06032-3324,11/15/2016
tuscaloosa,univ of alabama -nursing,al,35487-0001,11/15/2016
richmond,ivy tech comm coll - richmond,in,47374-1220,11/15/2016
san diego,advanced college of tech,ca,92123,11/16/2016
new orleans,delgado cc-west bank campus,la,70114-3047,11/16/2016
branchburg,raritan valley comm coll,nj,8876,11/16/2016
nj,test school s1,nj,1234,11/16/2016
